Alternative,Alternative Rock
Alternative,College Rock
Alternative,Experimental Rock
Alternative,Goth Rock
Alternative,Grunge
Alternative,Hardcore Punk
Alternative,Hard Rock
Alternative,Indie Rock
Alternative,New Wave
Alternative,Progressive Rock
Alternative,Punk
Alternative,Shoegaze
Alternative,Steampunk
Blues,Acoustic Blues
Blues,Chicago Blues
Blues,Classic Blues
Blues,Contemporary Blues
Blues,Country Blues
Blues,Delta Blues
Blues,Electric Blues
Children’s Music,Lullabies
Children’s Music,Sing-Along
Children’s Music,Stories
Classical,Avant-Garde
Classical,Baroque
Classical,Chamber Music
Classical,Chant
Classical,Choral
Classical,Classical Crossover
Classical,Early Music
Classical,High Classical
Classical,Impressionist
Classical,Medieval
Classical,Minimalism
Classical,Modern Composition
Classical,Opera
Classical,Orchestral
Classical,Renaissance
Classical,Romantic
Classical,Wedding Music
Comedy,Novelty
Comedy,Standup Comedy
Country,Alternative Country
Country,Americana
Country,Bluegrass
Country,Contemporary Bluegrass
Country,Contemporary Country
Country,Country Gospel
Country,Honky Tonk
Country,Outlaw Country
Country,Traditional Bluegrass
Country,Traditional Country
Country,Urban Cowboy
Dance/EDM,Breakbeat
Dance/EDM,Dubstep
Dance/EDM,Exercise
Dance/EDM,Garage
Dance/EDM,Hardcore
Dance/EDM,Hard Dance
Dance/EDM,Hi-NRG / Eurodance
Dance/EDM,House
Dance/EDM,Jackin House
Dance/EDM,Jungle/Drum’n'bass
Dance/EDM,Techno
Dance/EDM,Trance
Easy Listening,Bop
Easy Listening,Lounge
Easy Listening,Swing
Electronic,Ambient
Electronic,Crunk
Electronic,Downtempo
Electronic,Electro
Electronic,Electronica
Electronic,Electronic Rock
Electronic,IDM/Experimental
Electronic,Industrial
Hip-Hop/Rap,Alternative Rap
Hip-Hop/Rap,Bounce
Hip-Hop/Rap,Dirty South
Hip-Hop/Rap,East Coast Rap
Hip-Hop/Rap,Gangsta Rap
Hip-Hop/Rap,Hardcore Rap
Hip-Hop/Rap,Hip-Hop
Hip-Hop/Rap,Latin Rap
Hip-Hop/Rap,Old School Rap
Hip-Hop/Rap,Rap
Hip-Hop/Rap,Underground Rap
Hip-Hop/Rap,West Coast Rap
Holiday,Chanukah
Holiday,Christmas
Holiday,Christmas: Children’s
Holiday,Christmas: Classic
Holiday,Christmas: Classical
Holiday,Christmas: Jazz
Holiday,Christmas: Modern
Holiday,Christmas: Pop
Holiday,Christmas: R&B
Holiday,Christmas: Religious
Holiday,Christmas: Rock
Holiday,Easter
Holiday,Halloween
Holiday,Holiday: Other
Holiday,Thanksgiving
Inspirational – Christian & Gospel,CCM
Inspirational – Christian & Gospel,Christian Metal
Inspirational – Christian & Gospel,Christian Pop
Inspirational – Christian & Gospel,Christian Rap
Inspirational – Christian & Gospel,Christian Rock
Inspirational – Christian & Gospel,Classic Christian
Inspirational – Christian & Gospel,Contemporary Gospel
Inspirational – Christian & Gospel,Gospel
Inspirational – Christian & Gospel,Christian & Gospel
Inspirational – Christian & Gospel,Praise & Worship
Inspirational – Christian & Gospel,Qawwali
Inspirational – Christian & Gospel,Southern Gospel
Inspirational – Christian & Gospel,Traditional Gospel
Instrumental,March (Marching Band)
Instrumental,Karaoke
Jazz,Acid Jazz
Jazz,Avant-Garde Jazz
Jazz,Big Band
Jazz,Blue Note
Jazz,Contemporary Jazz
Jazz,Cool
Jazz,Crossover Jazz
Jazz,Dixieland
Jazz,Ethio-jazz
Jazz,Fusion
Jazz,Hard Bop
Jazz,Latin Jazz
Jazz,Mainstream Jazz
Jazz,Ragtime
Jazz,Smooth Jazz
Jazz,Trad Jazz
Latino,Alternativo & Rock Latino
Latino,Baladas y Boleros
Latino,Brazilian
Latino,Contemporary Latin
Latino,Latin Jazz
Latino,Pop Latino
Latino,Raíces
Latino,Reggaeton y Hip-Hop
Latino,Regional Mexicano
Latino,Salsa y Tropical
New Age,Environmental
New Age,Healing
New Age,Meditation
New Age,Nature
New Age,Relaxation
New Age,Travel
Pop,Adult Contemporary
Pop,Britpop
Pop,Pop/Rock
Pop,Soft Rock
Pop,Teen Pop
Pop,Indie Pop
Pop,Anime
Pop,K-Pop
Pop,J-Pop
Pop,French Pop
Pop,German Pop
R&B/Soul,Contemporary R&B
R&B/Soul,Disco
R&B/Soul,Doo Wop
R&B/Soul,Funk
R&B/Soul,Motown
R&B/Soul,Neo-Soul
R&B/Soul,Quiet Storm
R&B/Soul,Soul
Reggae,Dancehall
Reggae,Dub
Reggae,Roots Reggae
Reggae,Ska
Rock,Adult Alternative
Rock,American Trad Rock
Rock,Arena Rock
Rock,Blues-Rock
Rock,British Invasion
Rock,Death Metal/Black Metal
Rock,Glam Rock
Rock,Hair Metal
Rock,Hard Rock
Rock,Metal
Rock,Jam Bands
Rock,Prog-Rock/Art Rock
Rock,Psychedelic
Rock,Rock & Roll
Rock,Rockabilly
Rock,Roots Rock
Rock,Singer/Songwriter
Rock,Southern Rock
Rock,Surf
Rock,Tex-Mex
Singer/Songwriter,Alternative Folk
Singer/Songwriter,Contemporary Folk
Singer/Songwriter,Contemporary Singer/Songwriter
Singer/Songwriter,Folk-Rock
Singer/Songwriter,New Acoustic
Singer/Songwriter,Traditional Folk
Singer/Songwriter,German Folk
Soundtrack,Foreign Cinema
Soundtrack,Musicals
Soundtrack,Original Score
Soundtrack,Soundtrack
Soundtrack,TV Soundtrack
Spoken Word,
Tex-Mex/Tejano,Chicano
Tex-Mex/Tejano,Classic
Tex-Mex/Tejano,Conjunto
Tex-Mex/Tejano,Conjunto Progressive
Tex-Mex/Tejano,New Mex
Tex-Mex/Tejano,Tex-Mex
Vocal,Barbershop
Vocal,Doo-wop
Vocal,Standards
Vocal,Traditional Pop
Vocal,Vocal Jazz
Vocal,Vocal Pop
Vocal,Enka
Vocal,Sea Shanty
Africa,African Heavy Metal
Africa,African Hip Hop
